ds,GHI_A_DATA_Avg,POA_A_DATA_2_Avg,AirTC_Avg_Degree Celcius,RH_%,POA_A_DATA_3_Avg,WS_Avg_km/h,T110PV_C_Avg_Degree Celcius
11/21/2024 5:08:00 PM,145.720185778083,139.284817772433,35.2164995353582,20.5323003086305,129.677356477646,-16.9313979494773,42.2668811155065
11/21/2024 5:09:00 PM,142.759407176421,136.013619527194,35.1873286395249,20.5900898606087,126.491160475611,-16.971151402985,42.1515618138423
11/21/2024 5:10:00 PM,139.812248026915,132.756205554987,35.1579372838172,20.6483998271594,123.31949457627,-17.011070605345,42.036283645706
11/21/2024 5:11:00 PM,136.878924232126,129.512823986734,35.1283277604849,20.7072253066128,120.162591753072,-17.0511516733102,41.9210548660645
11/21/2024 5:12:00 PM,133.959649903834,126.283721279723,35.0985023968914,20.7665613115286,117.020683183912,-17.0913906868871,41.8058837438348
11/21/2024 5:13:00 PM,131.054637350912,123.069142201789,35.0684635553425,20.8264027691834,113.893998237851,-17.1317836899784,41.690778561472
11/21/2024 5:14:00 PM,128.16409696902,119.869329706861,35.038213631998,20.8867445212015,110.78276435593,-17.1723266921477,41.5757476105655
11/21/2024 5:15:00 PM,125.288237270802,116.684524965871,35.0077550568667,20.9475813296173,107.687207082112,-17.2130156683523,41.4607991931196
11/21/2024 5:16:00 PM,122.427264794465,113.514967262856,34.9770902928223,21.0089078715648,104.607549966038,-17.2538465615535,41.3459416178498
11/21/2024 5:17:00 PM,119.58138403624,110.360893917466,34.94622183461,21.070718747992,101.544014488067,-17.2948152831286,41.2311831974771
11/21/2024 5:18:00 PM,116.750797547043,107.222540389316,34.9151522101017,21.1330084762898,98.4968201637462,-17.3359177125564,41.1165322525739
11/21/2024 5:19:00 PM,113.935705679471,104.10013999476,34.8838839769784,21.1957715001151,95.4661842698359,-17.3771497013993,41.0019971013221
11/21/2024 5:20:00 PM,111.136306770056,100.99392410591,34.8524197248192,21.2590021835058,92.4523220410394,-17.418507071283,40.8875860668221
11/21/2024 5:21:00 PM,108.35279693175,97.9041219176765,34.8207620727181,21.3226948167971,89.4554464440281,-17.4599856169809,40.7733074685905
11/21/2024 5:22:00 PM,105.585370047487,94.8309604374186,34.7889136687182,21.386843617784,86.4757681708403,-17.5015811072395,40.6591696221456
11/21/2024 5:23:00 PM,102.834217850848,91.7746645713647,34.7568771910021,21.4514427286701,83.513495724394,-17.543289284503,40.5451808423071
11/21/2024 5:24:00 PM,100.099529702862,88.7354568735933,34.7246553445915,21.5164862243148,80.5688351776289,-17.5851058681592,40.431349433816
11/21/2024 5:25:00 PM,97.3814926784791,85.7135576387734,34.692250862843,21.5819681070552,77.6419902644642,-17.6270265538649,40.3176836947644
11/21/2024 5:26:00 PM,94.6802915155462,82.7091848421416,34.659666506212,21.6478823108595,74.7331623251681,-17.6690470150555,40.2041919143741
11/21/2024 5:27:00 PM,91.9961085164853,79.7225540268134,34.6269050607463,21.7142227060769,71.8425501980504,-17.7111629050327,40.0908823687237
11/21/2024 5:28:00 PM,89.3291235898129,76.7538783463779,34.5939693388627,21.7809830943288,68.9703502641874,-17.75336985663,39.9777633222844
11/21/2024 5:29:00 PM,86.6795141435182,73.8033684427991,34.5608621776099,21.8481572149498,66.1167563301148,-17.7956634842635,39.8648430232636
11/21/2024 5:30:00 PM,84.0474550823217,70.871232439727,34.5275864382099,21.9157387448926,63.2819596248907,-17.8380393851411,39.7521297032508
11/21/2024 5:31:00 PM,81.4331187945497,67.9576759241775,34.4941450059529,21.9837212994739,60.4661487838511,-17.8804931397322,39.639631576488
11/21/2024 5:32:00 PM,78.8366750609339,65.0629018411664,34.4605407888517,22.0520984356996,57.6695097486123,-17.9230203130224,39.5273568357055
11/21/2024 5:33:00 PM,76.258291053897,62.1871104891508,34.4267767171002,22.1208636522205,54.8922257660999,-17.9656164566259,39.4153136518514
11/21/2024 5:34:00 PM,73.6981313229812,59.3304994998744,34.3928557428449,22.1900103914777,52.134477370548,-18.0082771084417,39.3035101732031
11/21/2024 5:35:00 PM,71.1563577001401,56.4932637287823,34.3587808388196,22.2595320414538,49.3964422796904,-18.0509977948976,39.191954520992
11/21/2024 5:36:00 PM,68.6331293401471,53.6755952961332,34.3245549983524,22.3294219360961,46.6782954378451,-18.0937740314627,39.0806547908565
11/21/2024 5:37:00 PM,66.1286026289385,50.877683480596,34.2901812340555,22.3996733595133,43.9802089141285,-18.1366013241584,38.9696190485853
11/21/2024 5:38:00 PM,63.6429311457021,48.0997146727847,34.2556625768564,22.470279545218,41.3023518618038,-18.1794751712882,38.8588553279666
11/21/2024 5:39:00 PM,61.1762657328707,45.3418724492335,34.2210020770911,22.5412336779627,38.6448905896165,-18.222391062326,38.7483716338238
11/21/2024 5:40:00 PM,58.7287543154404,42.6043373663038,34.1862028013059,22.6125288956814,36.0079883680638,-18.2653444820427,38.6381759333241
11/21/2024 5:41:00 PM,56.3005419713856,39.8872870344851,34.1512678329584,22.6841582939214,33.3918055011102,-18.3083309099226,38.5282761590282
11/21/2024 5:42:00 PM,53.8917708959918,37.1908960742297,34.116200271979,22.7561149215157,30.79649928779,-18.3513458211631,38.4186802067286
11/21/2024 5:43:00 PM,51.502580315059,34.5153360143237,34.081003232994,22.8283917878552,28.2222239253481,-18.3943846887223,38.3093959312545
